Time (s),Target (RPM),Actual (RPM),PWM (%),Step_ID
1.858168601989746,20,17.142857142857142,26.59142857142856,1
1.908214807510376,20,17.142857142857142,26.491428571428564,1
1.9583156108856201,20,18.857142857142858,25.388571428571417,1
2.009647846221924,20,17.142857142857142,27.174285714285702,1
2.0585386753082275,20,18.857142857142858,25.728571428571414,1
2.1086416244506836,20,17.142857142857142,27.5142857142857,1
2.1586647033691406,20,18.857142857142858,26.068571428571417,1
2.2088210582733154,20,18.857142857142858,26.508571428571415,1
2.2588510513305664,20,17.142857142857142,27.951428571428558,1
2.308915615081787,20,18.857142857142858,26.50571428571427,1
2.3590903282165527,20,18.857142857142858,26.945714285714267,1
2.4091501235961914,20,17.142857142857142,28.38857142857141,1
2.459209680557251,20,18.857142857142858,26.94285714285713,1
2.5093624591827393,20,17.142857142857142,28.728571428571406,1
2.5593504905700684,20,18.857142857142858,27.282857142857125,1
2.6095311641693115,20,18.857142857142858,27.722857142857123,1
2.6595137119293213,20,18.857142857142858,27.81999999999998,1
2.709667921066284,20,18.857142857142858,27.917142857142835,1
2.7596869468688965,20,18.857142857142858,28.01428571428569,1
2.809793710708618,20,18.857142857142858,28.111428571428554,1
2.859955310821533,20,20.571428571428573,26.862857142857123,1
2.910078287124634,20,18.857142857142858,28.502857142857124,1
2.960129976272583,20,18.857142857142858,28.25714285714284,1
3.0102226734161377,20,18.857142857142858,28.354285714285695,1
3.0602543354034424,20,20.571428571428573,27.105714285714264,1
3.1103878021240234,20,18.857142857142858,28.745714285714264,1
3.1604106426239014,20,18.857142857142858,28.49999999999998,1
3.2105205059051514,20,20.571428571428573,27.251428571428548,1
3.2605865001678467,20,18.857142857142858,28.89142857142855,1
3.3106496334075928,20,20.571428571428573,27.299999999999976,1
3.36077880859375,20,18.857142857142858,28.939999999999976,1
3.410832405090332,20,20.571428571428573,27.348571428571404,1
3.4609174728393555,20,18.857142857142858,28.988571428571404,1
3.510985851287842,20,18.857142857142858,28.74285714285712,1
3.565983295440674,20,20.571428571428573,27.494285714285695,1
3.611847400665283,20,20.571428571428573,27.78857142857141,1
3.662092447280884,20,18.857142857142858,29.08571428571426,1
3.7122652530670166,20,20.571428571428573,27.494285714285695,1
3.762167453765869,20,20.571428571428573,27.78857142857141,1
3.812392473220825,20,18.857142857142858,29.08571428571426,1
3.862466335296631,20,18.857142857142858,28.839999999999975,1
3.91241717338562,20,20.571428571428573,27.59142857142855,1
3.9625256061553955,20,20.571428571428573,27.885714285714265,1
4.013501882553101,40,18.857142857142858,44.88285714285712,2
4.062819480895996,40,25.714285714285715,36.95428571428569,2
4.11291241645813,40,30.857142857142858,35.502857142857124,2
4.1629798412323,40,27.428571428571427,39.99999999999997,2
4.213057041168213,40,29.142857142857142,39.03714285714284,2
4.263218402862549,40,29.142857142857142,40.30285714285713,2
4.3132078647613525,40,30.857142857142858,39.87999999999998,2
4.363289833068848,40,30.857142857142858,40.99999999999998,2
4.4134767055511475,40,30.857142857142858,41.77714285714283,2
4.46343207359314,40,32.57142857142857,41.2085714285714,2
4.513615608215332,40,32.57142857142857,42.18285714285712,2
4.563911199569702,40,30.857142857142858,44.15999999999997,2
4.613818883895874,40,34.285714285714285,41.902857142857115,2
4.6638617515563965,40,32.57142857142857,44.419999999999966,2
4.714290618896484,40,34.285714285714285,43.36285714285711,2
4.764338254928589,40,34.285714285714285,44.19142857142853,2
4.814439058303833,40,34.285714285714285,44.67714285714281,2
4.864542245864868,40,34.285714285714285,45.162857142857106,2
4.914623260498047,40,36.0,44.3028571428571,2
4.964764833450317,40,34.285714285714285,46.33142857142853,2
5.014839172363281,40,36.0,45.128571428571384,2
5.064973831176758,40,36.0,45.81142857142852,2
5.115260124206543,40,36.0,46.151428571428525,2
5.165238618850708,40,36.0,46.49142857142852,2
5.215346336364746,40,36.0,46.83142857142852,2
5.265464544296265,40,37.714285714285715,45.82571428571423,2
5.315601825714111,40,36.0,47.708571428571375,2
5.365662574768066,40,37.714285714285715,46.35999999999994,2
5.415797472000122,40,36.0,48.24285714285708,2
5.46595025062561,40,37.714285714285715,46.89428571428566,2
5.515926837921143,40,37.714285714285715,47.43142857142851,2
5.566575765609741,40,36.0,48.97142857142851,2
5.616288423538208,40,41.142857142857146,44.931428571428505,2
5.666439056396484,40,36.0,49.89999999999994,2
5.716561555862427,40,37.714285714285715,47.86571428571423,2
5.766730785369873,40,39.42857142857143,47.0571428571428,2
5.816758871078491,40,37.714285714285715,48.79428571428565,2
5.866881370544434,40,37.714285714285715,48.64571428571422,2
5.917226791381836,40,39.42857142857143,47.49428571428565,2
5.967235803604126,40,39.42857142857143,47.88571428571422,2
6.017219543457031,40,37.714285714285715,49.27999999999993,2
6.0670366287231445,40,37.714285714285715,49.131428571428515,2
6.117102861404419,40,39.42857142857143,47.97999999999994,2
6.167272090911865,40,39.42857142857143,48.37142857142851,2
6.217341661453247,40,37.714285714285715,49.765714285714225,2
6.267348289489746,40,39.42857142857143,48.27142857142851,2
6.317488431930542,40,39.42857142857143,48.66285714285708,2
6.367491722106934,40,39.42857142857143,48.711428571428506,2
6.417673826217651,40,37.714285714285715,50.105714285714214,2
6.467702865600586,40,41.142857142857146,47.265714285714225,2
6.517847061157227,40,37.714285714285715,50.54571428571421,2
6.568010568618774,40,39.42857142857143,48.70857142857136,2
6.618015766143799,40,41.142857142857146,47.75428571428564,2
6.668091535568237,40,39.42857142857143,49.345714285714216,2
6.718100547790527,40,39.42857142857143,49.0514285714285,2
6.768265962600708,40,37.714285714285715,50.44571428571422,2
6.818323373794556,40,41.142857142857146,47.605714285714214,2
6.868398666381836,40,37.714285714285715,50.885714285714215,2
6.918569803237915,40,39.42857142857143,49.048571428571364,2
6.9686548709869385,40,41.142857142857146,48.09428571428565,2
7.018772602081299,40,39.42857142857143,49.68571428571422,2
7.068821907043457,40,39.42857142857143,49.391428571428506,2
7.118975400924683,40,39.42857142857143,49.439999999999934,2
7.168942451477051,40,41.142857142857146,48.14285714285708,2
7.219153642654419,40,39.42857142857143,49.73428571428565,2
7.269092082977295,40,39.42857142857143,49.439999999999934,2
7.319225072860718,40,39.42857142857143,49.48857142857136,2
7.3693530559539795,40,41.142857142857146,48.1914285714285,2
7.419507026672363,40,39.42857142857143,49.782857142857075,2
7.46949315071106,40,39.42857142857143,49.48857142857136,2
7.519617080688477,40,39.42857142857143,49.53714285714279,2
7.569701671600342,40,41.142857142857146,48.23999999999994,2
7.619819641113281,40,39.42857142857143,49.8314285714285,2
7.669903516769409,40,39.42857142857143,49.53714285714279,2
7.7199060916900635,40,39.42857142857143,49.58571428571422,2
7.770068645477295,40,39.42857142857143,49.634285714285646,2
7.820111036300659,40,41.142857142857146,48.337142857142794,2
7.87026309967041,40,39.42857142857143,49.92857142857136,2
7.920351028442383,40,39.42857142857143,49.634285714285646,2
7.970414400100708,40,41.142857142857146,48.337142857142794,2
8.021606206893921,15,39.42857142857143,30.30357142857136,3
8.070746183395386,15,32.57142857142857,38.267142857142794,3
8.120826959609985,15,27.428571428571427,39.439285714285646,3
8.170863628387451,15,29.142857142857142,36.008571428571365,3
8.221007347106934,15,27.428571428571427,36.49499999999993,3
8.27102017402649,15,27.428571428571427,35.09571428571422,3
8.321098327636719,15,27.428571428571427,34.039285714285654,3
8.371199369430542,15,25.714285714285715,34.328571428571365,3
8.421345710754395,15,25.714285714285715,33.074999999999946,3
8.471392154693604,15,25.714285714285715,32.164285714285654,3
8.52152132987976,15,24.0,32.599285714285664,3
8.571572303771973,15,24.0,31.49142857142852,3
8.621740341186523,15,22.285714285714285,32.07214285714281,3
8.671722173690796,15,24.0,29.76428571428567,3
8.721828937530518,15,22.285714285714285,30.687857142857094,3
8.771888732910156,15,22.285714285714285,29.725714285714236,3
8.822048902511597,15,20.571428571428573,30.45214285714281,3
8.872070789337158,15,22.285714285714285,28.289999999999953,3
8.922219514846802,15,20.571428571428573,29.35928571428567,3
8.972278833389282,15,20.571428571428573,28.542857142857095,3
9.022449254989624,15,20.571428571428573,28.06928571428567,3
9.072499990463257,15,18.857142857142858,28.941428571428524,3
9.12252163887024,15,20.571428571428573,26.924999999999955,3
9.172577857971191,15,20.571428571428573,26.79428571428567,3
9.222709894180298,15,17.142857142857142,29.01214285714281,3
9.27273154258728,15,20.571428571428573,25.452857142857095,3
9.322838068008423,15,18.857142857142858,27.010714285714236,3
9.372902154922485,15,17.142857142857142,27.68571428571424,3
9.423022508621216,15,18.857142857142858,25.814999999999955,3
9.4730703830719,15,18.857142857142858,25.82999999999995,3
9.523198127746582,15,17.142857142857142,26.847857142857094,3
9.573322296142578,15,18.857142857142858,24.97714285714281,3
9.623391151428223,15,17.142857142857142,26.33785714285709,3
9.673455238342285,15,17.142857142857142,25.81285714285709,3
9.723480701446533,15,17.142857142857142,25.630714285714234,3
9.773621797561646,15,18.857142857142858,24.10285714285709,3
9.82373571395874,15,15.428571428571429,26.80928571428566,3
9.873760223388672,15,17.142857142857142,24.74142857142852,3
9.923896551132202,15,18.857142857142858,23.55642857142852,3
9.973995685577393,15,15.428571428571429,26.262857142857087,3
10.024075984954834,15,17.142857142857142,24.194999999999943,3
10.074163675308228,15,17.142857142857142,24.355714285714228,3
10.124238967895508,15,15.428571428571429,25.519285714285655,3
10.17426085472107,15,17.142857142857142,23.794285714285657,3
10.224420309066772,15,17.142857142857142,23.95499999999994,3
10.274434328079224,15,15.428571428571429,25.118571428571364,3
10.324496746063232,15,15.428571428571429,24.73928571428565,3
10.374589443206787,15,17.142857142857142,23.357142857142797,3
10.42485499382019,15,15.428571428571429,24.863571428571362,3
10.474887132644653,15,17.142857142857142,23.13857142857136,3
10.524952173233032,15,15.428571428571429,24.64499999999993,3
10.574982643127441,15,15.428571428571429,24.265714285714214,3
10.625064373016357,15,17.142857142857142,22.883571428571358,3
10.675133466720581,15,15.428571428571429,24.389999999999926,3
10.725168943405151,15,15.428571428571429,24.01071428571421,3
10.775354385375977,15,15.428571428571429,23.97428571428564,3
10.825458288192749,15,17.142857142857142,22.592142857142782,3
10.875455856323242,15,15.428571428571429,24.09857142857135,3
10.925708532333374,15,15.428571428571429,23.719285714285636,3
10.976496458053589,15,15.428571428571429,23.682857142857063,3
11.026713609695435,15,15.428571428571429,23.64642857142849,3
11.076796531677246,15,15.428571428571429,23.609999999999918,3
11.12686538696289,15,15.428571428571429,23.573571428571345,3
11.176945209503174,15,15.428571428571429,23.537142857142772,3
11.22711706161499,15,15.428571428571429,23.5007142857142,3
11.27716851234436,15,15.428571428571429,23.464285714285626,3
11.327271461486816,15,15.428571428571429,23.427857142857054,3
11.377349615097046,15,15.428571428571429,23.39142857142848,3
11.42750597000122,15,15.428571428571429,23.354999999999908,3
11.477580308914185,15,15.428571428571429,23.318571428571335,3
11.527679920196533,15,15.428571428571429,23.282142857142762,3
11.577844381332397,15,15.428571428571429,23.24571428571419,3
11.628732204437256,15,13.714285714285714,24.554999999999904,3
11.678112030029297,15,15.428571428571429,22.97571428571419,3
11.728233337402344,15,15.428571428571429,23.28214285714276,3
11.778353452682495,15,15.428571428571429,23.245714285714186,3
11.82846474647522,15,15.428571428571429,23.209285714285613,3
11.878522396087646,15,15.428571428571429,23.17285714285704,3
11.928723335266113,15,15.428571428571429,23.136428571428468,3
11.978842973709106,15,15.428571428571429,23.099999999999895,3
12.029111623764038,30,13.714285714285714,36.18428571428561,4
12.07913851737976,30,20.571428571428573,28.84285714285704,4
12.129249334335327,30,24.0,28.32428571428561,4
12.179362297058105,30,20.571428571428573,32.21142857142846,4
12.229542016983032,30,20.571428571428573,32.32714285714275,4
12.279566049575806,30,24.0,30.437142857142756,4
12.329728126525879,30,22.285714285714285,32.97857142857133,4
12.3798189163208,30,22.285714285714285,33.29142857142847,4
12.430003643035889,30,24.0,32.60142857142847,4
12.480122804641724,30,24.0,33.45428571428562,4
12.53023099899292,30,25.714285714285715,32.61857142857133,4
12.580349445343018,30,24.0,34.67142857142848,4
12.630464315414429,30,25.714285714285715,33.49285714285705,4
12.680526733398438,30,24.0,35.54571428571419,4
12.730626821517944,30,25.714285714285715,34.36714285714277,4
12.78073763847351,30,25.714285714285715,35.07428571428562,4
12.830880403518677,30,25.714285714285715,35.438571428571336,4
12.880950689315796,30,27.428571428571427,34.45714285714277,4
12.931162595748901,30,25.714285714285715,36.36428571428563,4
12.98149561882019,30,25.714285714285715,36.3857142857142,4
13.031461238861084,30,27.428571428571427,35.404285714285635,4
13.081705093383789,30,27.428571428571427,35.965714285714206,4
13.131828784942627,30,27.428571428571427,36.18428571428564,4
13.182003498077393,30,25.714285714285715,37.74857142857135,4
13.231868267059326,30,29.142857142857142,35.078571428571365,4
13.281980752944946,30,27.428571428571427,37.182857142857074,4
13.332172870635986,30,25.714285714285715,38.40428571428565,4
13.382272005081177,30,29.142857142857142,35.734285714285654,4
13.432497501373291,30,29.142857142857142,36.49285714285708,4
13.482496738433838,30,27.428571428571427,37.91142857142851,4
13.532602071762085,30,27.428571428571427,37.787142857142804,4
13.582869052886963,30,29.142857142857142,36.659999999999954,4
13.632961750030518,30,27.428571428571427,38.42142857142852,4
13.682911396026611,30,29.142857142857142,36.95142857142853,4
13.73302149772644,30,29.142857142857142,37.36714285714282,4
13.783167839050293,30,27.428571428571427,38.78571428571424,4
13.83330249786377,30,29.142857142857142,37.31571428571425,4
13.8833749294281,30,29.142857142857142,37.73142857142854,4
13.933443546295166,30,29.142857142857142,37.80428571428568,4
13.983582019805908,30,27.428571428571427,39.22285714285711,4
14.033806085586548,30,29.142857142857142,37.75285714285712,4
14.083908796310425,30,30.857142857142858,36.82285714285711,4
14.133945226669312,30,27.428571428571427,39.78428571428568,4
14.183927774429321,30,29.142857142857142,37.97142857142855,4
14.234162092208862,30,30.857142857142858,37.04142857142854,4
14.28425931930542,30,27.428571428571427,40.00285714285711,4
14.33431601524353,30,30.857142857142858,36.84428571428568,4
14.384432315826416,30,29.142857142857142,38.802857142857114,4
14.434549570083618,30,29.142857142857142,38.53285714285712,4
14.484596252441406,30,29.142857142857142,38.605714285714264,4
14.534802675247192,30,29.142857142857142,38.67857142857141,4
14.58486008644104,30,29.142857142857142,38.751428571428555,4
14.635070562362671,30,30.857142857142858,37.478571428571406,4
14.685155391693115,30,27.428571428571427,40.439999999999976,4
14.735244512557983,30,30.857142857142858,37.28142857142855,4
14.785416603088379,30,29.142857142857142,39.23999999999998,4
14.835463523864746,30,29.142857142857142,38.969999999999985,4
14.88668966293335,30,30.857142857142858,37.697142857142836,4
14.935925245285034,30,29.142857142857142,39.312857142857126,4
14.986011028289795,30,29.142857142857142,39.04285714285713,4
15.03618597984314,30,30.857142857142858,37.76999999999998,4
15.086275100708008,30,29.142857142857142,39.38571428571427,4
15.136310577392578,30,29.142857142857142,39.115714285714276,4
15.18642282485962,30,30.857142857142858,37.84285714285713,4
15.236566305160522,30,29.142857142857142,39.45857142857142,4
15.286609411239624,30,29.142857142857142,39.18857142857142,4
15.336716175079346,30,30.857142857142858,37.91571428571427,4
15.386834144592285,30,29.142857142857142,39.53142857142856,4
